file	md5	series_number	instance_number	slice_location
004ed0389c309c9afdc4348638da6ee63d5520ad.dcm	3c0bcc1c44ce06d14957af26472484b7	9	3	-3.094955444
0082e5ee63c7f0e5465c485352e721d61c599f0a.dcm	8320abe8a1876f62e8ec9dd6957587ee	15	46	30.87841797
008e52ae992e8eca1928bd501dc2e019c9cc8ee8.dcm	df8ed36eba3caaaadc4cc6ba03a39736	6	17	-4.787580013
00b236505d16556cd7a5daabb28f26bb53bf2386.dcm	d5fc6662b15eeb6e04bb117aeaefeb51	1001	43	-222.9649506
00bcfd73d27b6a639156a845ab5490b2467ba4f0.dcm	60e9dbda4547d6f65fcca8453e9fdaee	1001	36	-184.4877014
00f28c0e78d12cb9ab119696ef4ba36c4cf0f336.dcm	e5f952f1682dd4d2ce8a6a909df4fc62	1601	11	-161.621582
0172652629ba9b1d723864455409b5d644d9805b.dcm	e11bd65ca7b4348958bab25d351b5820	5	9	-34.94831848
01bcd7499e1467ec16135420d80ad43ab32f7f6d.dcm	a186cb4ac65773d42256622236ca3b02	15	45	25.37841797
01edc040765c84cdb411f9f2b1f51ab6a5690ae9.dcm	9781d5b19d514d793ef346a88d682579	15	2	-211.121582
01f58b811920c86d83296692501e4aafd6857a65.dcm	67982102dbef5dac354e59c801889b48	7	9	58.78108215
0225575c10675c9eab73b664d2b2432de4855d58.dcm	64bb361310ed4f97712454235afc5173	10	2	2.401787758
0226ed4bfe63eef7ad957e061997fb9c9fb2422c.dcm	f4e83832ccc7e1407691cef43b2380d1	3	18	1.942154408
0236f716eab8fc22695c368c713a6fbfd3f3c353.dcm	f2fdf38bcd6cf92ccdcd7b95a0dc2f13	1600	54	74.87841797
023a61b8c153cbe1a5a14002b501f62d444f2838.dcm	baa9ff8557d80ba8d8265e738f8316a1	1601	3	-205.621582
024643c8e8091b671bfaca759575ee366ec4bd4d.dcm	2b3b52f98a600e2bc1310262edbd0139	13	7	-109.9769592
0249e131c10371f03c25394e235bf3934e72f1f7.dcm	cf854db9dd984d970723115d01e74e04	12	9	-36.07545853
025d7559fd8b8244a9fe5402ed624e37b4147e3d.dcm	28b8c5779edff3b7e2434b4b1038d44b	1000	40	-206.4747009
029dae8571df45a079916b80e83aca6839d5fa6f.dcm	1f001c316c87360ee9dd1ac121e19f85	4	16	-6.255725384
02bf42f077115c5c833131ba276d80e119a7eb22.dcm	0192b30d3a950567450f405f1613bf85	11	94	-217.4682007
02ef0f87e884eebbbdc7fa6c012104646a3d6867.dcm	ed8d22fbe09bb504c67002416b2c99d3	5	19	6.041101456
0331089d81108de8a452b03019be6de182fb7c4f.dcm	6a4eecec54b98df0a6758e542699a13f	14	17	-54.99992371
037ad81676933192647a915f73d607fcec237ffb.dcm	df22fb291812658361d84de361243aec	16	42	8.878417969
03b7307684b47af2aaf83fc07106e2fbf77ae000.dcm	963ea9af1a453d45e82024010a569ddf	9	36	-184.4877014
03d6b90fe2b2d77f228cf42ebee22aa7555cf5de.dcm	3c78b04b8a5dfc1ad5f18cff63efcc92	11	15	-69.05595398
03e672c07a2155ced9e01e4b1f30f2752da50e58.dcm	c21efd06244dec5803c6fe825f6e21a8	12	32	-162.5007019
0425ddac3d599a5b2162ce193da6ed7e56d98b7f.dcm	9d5f0dbd7a6b891117ba6a1c5617a670	13	9	-98.98153687
