series_number,description,n_slices,matrix,TR_ms,TE_ms,flip_deg,slice_mm,pixel_mm
2,"Cor T2 frFSE",31,1024x1024,7517,116.8,160,4.0,0.3320
3,"Sag T2 frFSE",19,1024x1024,5320,121.8,160,3.5,0.3369
4,"Sag T1 FSE",19,1024x1024,595,7.7,111,3.5,0.3369
5,"Sag T2 FSE STIR",19,1024x1024,5743,42.7,111,3.5,0.3369
6,"Ax T2 FSE",25,1024x1024,3960,98.8,160,4.0,0.1660
7,"Ax T1 FSE",25,512x512,662,6.9,111,4.0,0.3320
8,"3-plane Localizer",23,512x512,1000,83.0,90,10.0,0.8594
9,"Ax T1 FSE",52,512x512,824,8.2,160,4.5,0.9844
10,"WATER: Ax T2 FSE Flex",52,512x512,4380,100.5,160,4.5,0.9844
11,"Ax DWI ALL b50-700",104,256x256,9543,72.0,90,4.5,1.6406
12,"Ax FSE STIR",52,512x512,3862,27.2,160,4.5,0.9844
13,"COR T1 FSE",46,512x512,675,7.5,160,4.5,0.7969
14,"WATER: COR T2 FSE Flex",46,512x512,5124,107.5,160,4.5,0.7969
15,"SAG T1 FSE",67,512x512,683,7.6,160,4.5,0.6563
16,"WATER: SAG T2 FSE Flex",67,512x512,14572,113.4,160,4.5,0.6563
1000,"FAT: Ax T2 FSE Flex",52,512x512,4380,100.5,160,4.5,0.9844
1001,"InPhase: Ax T2 FSE Flex",52,512x512,4380,100.5,160,4.5,0.9844
1150,"ADC (10^-6 mm²/s)",52,256x256,9543,72.0,90,4.5,1.6406
1400,"FAT: COR T2 FSE Flex",46,512x512,5124,107.5,160,4.5,0.7969
1401,"InPhase: COR T2 FSE Flex",46,512x512,5124,107.5,160,4.5,0.7969
1600,"FAT: SAG T2 FSE Flex",67,512x512,14572,113.4,160,4.5,0.6563
1601,"InPhase: SAG T2 FSE Flex",67,512x512,14572,113.4,160,4.5,0.6563
